연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
117,한국바이오의약품협회,(주)메디톡스,"메디톡신주150단위(클로스트리디움보툴리눔독소A형)[수출명:뉴로녹스주 150단위, 시악스주 150단위, 에복시아주 150단위, 아이록신주 150단위, 보타넥스주 150단위, 큐녹스주 150단위, 보툴리프트주 150단위]",201309732,생물의약품,제조,전문의약품,,,,,,,,,,
118,한국바이오의약품협회,(주)메디톡스,이노톡스주(클로스트리디움보툴리눔독소A형)(수출명 : INNOTOX Inj.),201310633,생물의약품,제조,전문의약품,,,,,,,,,,
119,한국바이오의약품협회,(주)메디톡스,코어톡스주(클로스트리디움보툴리눔독소A형(150kDa))(수출명 : Coretox Inj.),201603891,생물의약품,제조,전문의약품,,,,,,,,,,
120,한국바이오의약품협회,(주)메디톡스,뉴라킨크림5%(이부프로펜피코놀),201800833,의약품,제조,전문의약품,,,,,,,,,,
121,한국바이오의약품협회,(주)메디팁,콘투락투벡스겔,200109572,의약품,수입,일반의약품,,,,,,,,,,
122,한국바이오의약품협회,(주)메디팁,판토가캅셀,200210304,의약품,수입,일반의약품,,,,,,,,,,
123,한국바이오의약품협회,(주)메디팁,힐론5주(히알루론산나트륨),200603998,의약품,수입,전문의약품,,,,,,,,,,
124,한국바이오의약품협회,(주)메디팁,힐론주(히알루론산나트륨),200709352,의약품,수입,전문의약품,,,,,,,,,,
125,한국바이오의약품협회,(주)메디팁,욘델리스주사1.0밀리그램(트라벡테딘),200804451,의약품,수입,전문의약품,,,,,,,,,,
126,한국바이오의약품협회,(주)바이오솔루션,카티라이프(바솔자가연골유래연골세포),202105509,첨단바이오의약품,제조,전문의약품,,,,,,,,,,
127,한국바이오의약품협회,(주)바이오솔루션,케라힐-알로(바솔동종피부유래각질세포),202106170,첨단바이오의약품,제조,전문의약품,,,,,,,,,,
128,한국바이오의약품협회,(주)바이오솔루션,케라힐(바솔자가피부유래각질세포),202106171,첨단바이오의약품,제조,전문의약품,,,,,,,,,,
129,한국바이오의약품협회,(주)보령바이오파마,지로티프-주(정제브이아이장티푸스백신)(수출명 : TYPHIX Injection),199202622,생물의약품,제조,전문의약품,,,,,,,,,,
