연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
1046,한국바이오의약품협회,알보젠코리아(주),"시너탐주1.5그램(설박탐나트륨,암피실린나트륨)(수출명:GENERTAMInj.1.5g,Sulbacin)",199701139,의약품,제조,전문의약품,,,,,,,,,,
1047,한국바이오의약품협회,알보젠코리아(주),아티란캡슐200밀리그램(아세틸시스테인),199703126,의약품,제조,일반의약품,,,,,,,,,,
1048,한국바이오의약품협회,알보젠코리아(주),네프로정(아세트산칼슘),199801011,의약품,제조,전문의약품,,,,,,,,,,
1049,한국바이오의약품협회,알보젠코리아(주),후라질주(메트로니다졸)(수출명:근화메트로니다졸주),199900910,의약품,제조,전문의약품,,,,,,,,,,
1050,한국바이오의약품협회,알보젠코리아(주),뉴렌정(아세틸-엘-카르니틴염산염),199900915,의약품,제조,전문의약품,,,,,,,,,,
1051,한국바이오의약품협회,알보젠코리아(주),진코바정80밀리그램(은행엽건조엑스),199902459,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
1052,한국바이오의약품협회,알보젠코리아(주),콤탄정200밀리그램(엔타카폰),199906916,의약품,수입,전문의약품,,,,,,,,,,
1053,한국바이오의약품협회,알보젠코리아(주),모티라이드정(레보설피리드),200001275,의약품,제조,전문의약품,,,,,,,,,,
1054,한국바이오의약품협회,알보젠코리아(주),리피클연질캡슐,200004038,의약품,제조,일반의약품,,,,,,,,,,
1055,한국바이오의약품협회,알보젠코리아(주),쎄로켈정25밀리그램(쿠에티아핀푸마르산염),200009022,의약품,수입,전문의약품,,,,,,,,,,
1056,한국바이오의약품협회,알보젠코리아(주),쎄로켈정100밀리그램(쿠에티아핀푸마르산염),200009023,의약품,수입,전문의약품,,,,,,,,,,
1057,한국바이오의약품협회,알보젠코리아(주),쎄로켈정200밀리그램(쿠에티아핀푸마르산염),200009024,의약품,수입,전문의약품,,,,,,,,,,
1058,한국바이오의약품협회,알보젠코리아(주),썰타목스정500mg(아목시실린수화물·설박탐피복실),200009496,의약품,제조,전문의약품,,,,,,,,,,
1059,한국바이오의약품협회,알보젠코리아(주),머시론정,200009522,의약품,수입,일반의약품,,,,,,,,,,
1060,한국바이오의약품협회,알보젠코리아(주),마이토닌정25밀리그램(베타네콜염화물),200009634,의약품,제조,전문의약품,,,,,,,,,,
1061,한국바이오의약품협회,알보젠코리아(주),알보젠카베디롤정25밀리그램(카르베딜롤),200100858,의약품,제조,전문의약품,,,,,,,,,,
1062,한국바이오의약품협회,알보젠코리아(주),비그만정(방풍통성산건조엑스),200103187,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
1063,한국바이오의약품협회,알보젠코리아(주),에비스타정60밀리그람(라록시펜염산염),200108676,의약품,수입,전문의약품,,,,,,,,,,
1064,한국바이오의약품협회,알보젠코리아(주),카리메트과립(폴리스티렌설폰산칼슘),200200768,의약품,제조,전문의약품,,,,,,,,,,
1065,한국바이오의약품협회,알보젠코리아(주),푸로핀캡슐(플루옥세틴염산염),200202781,의약품,제조,전문의약품,,,,,,,,,,
1066,한국바이오의약품협회,알보젠코리아(주),플로졸캡슐(플루코나졸),200202782,의약품,제조,전문의약품,,,,,,,,,,
1067,한국바이오의약품협회,알보젠코리아(주),알보젠레바미피드정,200300694,의약품,제조,전문의약품,,,,,,,,,,
1068,한국바이오의약품협회,알보젠코리아(주),에스티나정(에바스틴),200301739,의약품,제조,전문의약품,,,,,,,,,,
1069,한국바이오의약품협회,알보젠코리아(주),데오크레건조시럽20%(테오필린),200302202,의약품,제조,전문의약품,,,,,,,,,,
1070,한국바이오의약품협회,알보젠코리아(주),헤데론시럽(아이비엽70%에탄올유동엑스),200302207,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
1071,한국바이오의약품협회,알보젠코리아(주),록프라정(록소프로펜나트륨수화물),200302214,의약품,제조,전문의약품,,,,,,,,,,
1072,한국바이오의약품협회,알보젠코리아(주),메조나카주사(벤조산나트륨카페인),200308891,의약품,제조,전문의약품,,,,,,,,,,
1073,한국바이오의약품협회,알보젠코리아(주),피나드론정(피나스테리드),200400993,의약품,제조,전문의약품,,,,,,,,,,
1074,한국바이오의약품협회,알보젠코리아(주),펜다운캡슐(가바펜틴),200401009,의약품,제조,전문의약품,,,,,,,,,,
1075,한국바이오의약품협회,알보젠코리아(주),텔비나정(테르비나핀염산염),200403309,의약품,제조,전문의약품,,,,,,,,,,
1076,한국바이오의약품협회,알보젠코리아(주),티로진정(티로프라미드염산염),200403312,의약품,제조,전문의약품,,,,,,,,,,
1077,한국바이오의약품협회,알보젠코리아(주),브로필린캡슐(아세브로필린),200403317,의약품,제조,전문의약품,,,,,,,,,,
1078,한국바이오의약품협회,알보젠코리아(주),토팜정(토피라메이트),200403319,의약품,제조,전문의약품,,,,,,,,,,
1079,한국바이오의약품협회,알보젠코리아(주),카르닌주(엘-카르니틴),200403324,의약품,제조,전문의약품,,,,,,,,,,
1080,한국바이오의약품협회,알보젠코리아(주),세파딜캡슐(세파드록실수화물),200403325,의약품,제조,전문의약품,,,,,,,,,,
1081,한국바이오의약품협회,알보젠코리아(주),콜레논연질캡슐(수출명 : Dreamway Soft Capsule),200403327,의약품,제조,일반의약품,,,,,,,,,,
1082,한국바이오의약품협회,알보젠코리아(주),아시폴정(아시클로버),200403329,의약품,제조,전문의약품,,,,,,,,,,
1083,한국바이오의약품협회,알보젠코리아(주),아가푸린주사(펜톡시필린),200403330,의약품,제조,전문의약품,,,,,,,,,,
1084,한국바이오의약품협회,알보젠코리아(주),에센비정,200403333,의약품,제조,일반의약품,,,,,,,,,,
1085,한국바이오의약품협회,알보젠코리아(주),트라신정(테라조신염산염수화물),200403335,의약품,제조,전문의약품,,,,,,,,,,
1086,한국바이오의약품협회,알보젠코리아(주),에펙스정(에페리손염산염),200403336,의약품,제조,전문의약품,,,,,,,,,,
1087,한국바이오의약품협회,알보젠코리아(주),스타레보필름코팅정50/12.5/200밀리그램,200410071,의약품,수입,전문의약품,,,,,,,,,,
1088,한국바이오의약품협회,알보젠코리아(주),스타레보필름코팅정100/25/200밀리그램,200410072,의약품,수입,전문의약품,,,,,,,,,,
1089,한국바이오의약품협회,알보젠코리아(주),스타레보필름코팅정150/37.5/200밀리그램,200410073,의약품,수입,전문의약품,,,,,,,,,,
1090,한국바이오의약품협회,알보젠코리아(주),쎄로켈정300밀리그램(쿠에티아핀푸마르산염),200410325,의약품,수입,전문의약품,,,,,,,,,,
1091,한국바이오의약품협회,알보젠코리아(주),러츠날캡슐(탐스로신염산염),200410896,의약품,제조,전문의약품,,,,,,,,,,
1092,한국바이오의약품협회,알보젠코리아(주),프로시톨정(프로피베린염산염),200410941,의약품,제조,전문의약품,,,,,,,,,,
1093,한국바이오의약품협회,알보젠코리아(주),판테온정40밀리그램(판토프라졸나트륨세스키히드레이트),200410942,의약품,제조,전문의약품,,,,,,,,,,
1094,한국바이오의약품협회,알보젠코리아(주),암로맥스정5밀리그램(메실산암로디핀일수화물),200500961,의약품,제조,전문의약품,,,,,,,,,,
1095,한국바이오의약품협회,알보젠코리아(주),암로맥스정10밀리그램(메실산암로디핀일수화물),200500962,의약품,제조,전문의약품,,,,,,,,,,
1096,한국바이오의약품협회,알보젠코리아(주),로사맥스정(로사르탄칼륨),200500963,의약품,제조,전문의약품,,,,,,,,,,
1097,한국바이오의약품협회,알보젠코리아(주),맥스그렐정(클로피도그렐황산수소염),200500965,의약품,제조,전문의약품,,,,,,,,,,
1098,한국바이오의약품협회,알보젠코리아(주),팜체어정(팜시클로비르),200500969,의약품,제조,전문의약품,,,,,,,,,,
1099,한국바이오의약품협회,알보젠코리아(주),리볼론정(티볼론),200502737,의약품,제조,전문의약품,,,,,,,,,,
1100,한국바이오의약품협회,알보젠코리아(주),토팜정25밀리그람(토피라메이트),200502744,의약품,제조,전문의약품,,,,,,,,,,
1101,한국바이오의약품협회,알보젠코리아(주),스웰리스정(방기황기탕건조엑스(7.52->1)),200502757,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
1102,한국바이오의약품협회,알보젠코리아(주),아르볼캡슐,200502762,한약(생약)제제등,제조,일반의약품,,,,,,,,,,
1103,한국바이오의약품협회,알보젠코리아(주),판테온정20밀리그램(판토프라졸나트륨세스키히드레이트),200512238,의약품,제조,전문의약품,,,,,,,,,,
1104,한국바이오의약품협회,알보젠코리아(주),펜다운캡슐100밀리그램(가바펜틴),200512240,의약품,제조,전문의약품,,,,,,,,,,
1105,한국바이오의약품협회,알보젠코리아(주),아제르탄플러스에프정,200607445,의약품,제조,전문의약품,,,,,,,,,,
1106,한국바이오의약품협회,알보젠코리아(주),디마폴민서방정(메트포르민염산염),200608278,의약품,제조,전문의약품,,,,,,,,,,
1107,한국바이오의약품협회,알보젠코리아(주),로사맥스플러스정,200701917,의약품,제조,전문의약품,,,,,,,,,,
1108,한국바이오의약품협회,알보젠코리아(주),알보젠카베디롤정12.5밀리그램(카르베딜롤),200702200,의약품,제조,전문의약품,,,,,,,,,,
1109,한국바이오의약품협회,알보젠코리아(주),프로카덱스정(비칼루타미드),200702749,의약품,제조,전문의약품,,,,,,,,,,
1110,한국바이오의약품협회,알보젠코리아(주),힐로니드주(히알루론산나트륨),200703200,의약품,제조,전문의약품,,,,,,,,,,
1111,한국바이오의약품협회,알보젠코리아(주),아트세미정,200705595,의약품,제조,전문의약품,,,,,,,,,,
1112,한국바이오의약품협회,알보젠코리아(주),아트정,200705596,의약품,제조,전문의약품,,,,,,,,,,
1113,한국바이오의약품협회,알보젠코리아(주),리노에스티나서방캡슐,200707382,의약품,제조,전문의약품,,,,,,,,,,
1114,한국바이오의약품협회,알보젠코리아(주),알푸릭스엑스엘정10mg(알푸조신염산염),200708596,의약품,제조,전문의약품,,,,,,,,,,
1115,한국바이오의약품협회,알보젠코리아(주),"쎄로켈서방정400밀리그램(쿠에티아핀푸마르산염
)",200712979,의약품,수입,전문의약품,,,,,,,,,,
1116,한국바이오의약품협회,알보젠코리아(주),"쎄로켈서방정300밀리그램(쿠에티아핀푸마르산염
)",200712980,의약품,수입,전문의약품,,,,,,,,,,
1117,한국바이오의약품협회,알보젠코리아(주),쎄로켈서방정50밀리그램(쿠에티아핀푸마르산염),200712981,의약품,수입,전문의약품,,,,,,,,,,
1118,한국바이오의약품협회,알보젠코리아(주),쎄로켈서방정200밀리그램(쿠에티아핀푸마르산염),200712982,의약품,수입,전문의약품,,,,,,,,,,
1119,한국바이오의약품협회,알보젠코리아(주),리세토정(리세드론산나트륨),200801814,의약품,제조,전문의약품,,,,,,,,,,
1120,한국바이오의약품협회,알보젠코리아(주),이소바이드액(이소소르비드액),200801848,의약품,수입,전문의약품,,,,,,,,,,
1121,한국바이오의약품협회,알보젠코리아(주),레티잘정(레보세티리진염산염),200803641,의약품,제조,전문의약품,,,,,,,,,,
1122,한국바이오의약품협회,알보젠코리아(주),맥스디오플러스정160/12.5mg,200805901,의약품,제조,전문의약품,,,,,,,,,,
1123,한국바이오의약품협회,알보젠코리아(주),스타레보필름코팅정200/50/200밀리그램,200805910,의약품,수입,전문의약품,,,,,,,,,,
1124,한국바이오의약품협회,알보젠코리아(주),맥스디오플러스정80/12.5mg,200805919,의약품,제조,전문의약품,,,,,,,,,,
1125,한국바이오의약품협회,알보젠코리아(주),맥스디오정160mg(발사르탄),200807204,의약품,제조,전문의약품,,,,,,,,,,
1126,한국바이오의약품협회,알보젠코리아(주),맥스디오정80mg(발사르탄),200807361,의약품,제조,전문의약품,,,,,,,,,,
1127,한국바이오의약품협회,알보젠코리아(주),엘카리나정(엘카르니틴),200810951,의약품,제조,일반의약품,,,,,,,,,,
1128,한국바이오의약품협회,알보젠코리아(주),에이올정,200810996,의약품,제조,일반의약품,,,,,,,,,,
1129,한국바이오의약품협회,알보젠코리아(주),쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염),200906719,의약품,수입,전문의약품,,,,,,,,,,
1130,한국바이오의약품협회,알보젠코리아(주),스타레보필름코팅정75/18.75/200밀리그램,200908499,의약품,수입,전문의약품,,,,,,,,,,
1131,한국바이오의약품협회,알보젠코리아(주),스타레보필름코팅정125/31.25/200밀리그램,200908500,의약품,수입,전문의약품,,,,,,,,,,
1132,한국바이오의약품협회,알보젠코리아(주),미카탄플러스정40/12.5밀리그램,201000877,의약품,제조,전문의약품,,,,,,,,,,
1133,한국바이오의약품협회,알보젠코리아(주),미카탄플러스정80/12.5밀리그램,201000878,의약품,제조,전문의약품,,,,,,,,,,
1134,한국바이오의약품협회,알보젠코리아(주),로레스토정10mg(로수바스타틴칼슘),201000972,의약품,제조,전문의약품,,,,,,,,,,
1135,한국바이오의약품협회,알보젠코리아(주),올리엣캡슐120밀리그램(오르리스타트),201002503,의약품,제조,전문의약품,,,,,,,,,,
1136,한국바이오의약품협회,알보젠코리아(주),미카탄정80밀리그램(텔미사르탄),201003096,의약품,제조,전문의약품,,,,,,,,,,
1137,한국바이오의약품협회,알보젠코리아(주),미카탄정40밀리그램(텔미사르탄),201003097,의약품,제조,전문의약품,,,,,,,,,,
1138,한국바이오의약품협회,알보젠코리아(주),액티큐정,201105106,의약품,제조,일반의약품,,,,,,,,,,
1139,한국바이오의약품협회,알보젠코리아(주),네오본주1마이크로그램(칼시트리올),201105752,의약품,제조,전문의약품,,,,,,,,,,
1140,한국바이오의약품협회,알보젠코리아(주),글루비엠정2/500밀리그램,201106952,의약품,제조,전문의약품,,,,,,,,,,
1141,한국바이오의약품협회,알보젠코리아(주),엔피린캡슐75밀리그램(프레가발린),201109222,의약품,제조,전문의약품,,,,,,,,,,
1142,한국바이오의약품협회,알보젠코리아(주),토푸렉실플러스시럽,201200076,의약품,제조,일반의약품,,,,,,,,,,
1143,한국바이오의약품협회,알보젠코리아(주),리포더마주(히알루로니다제),201201593,의약품,제조,전문의약품,,,,,,,,,,
1144,한국바이오의약품협회,알보젠코리아(주),프리야정100밀리그램(실데나필시트르산염),201201693,의약품,제조,전문의약품,,,,,,,,,,
1145,한국바이오의약품협회,알보젠코리아(주),슈가펜에스정,201206327,의약품,제조,일반의약품,,,,,,,,,,
1146,한국바이오의약품협회,알보젠코리아(주),써모펜에스정,201206328,의약품,제조,일반의약품,,,,,,,,,,
1147,한국바이오의약품협회,알보젠코리아(주),올리엣캡슐60밀리그램(오르리스타트),201207236,의약품,제조,전문의약품,,,,,,,,,,
1148,한국바이오의약품협회,알보젠코리아(주),엘디로정10밀리그램(아토르바스타틴칼슘삼수화물),201207300,의약품,제조,전문의약품,,,,,,,,,,
1149,한국바이오의약품협회,알보젠코리아(주),알보젠이토라드정(이토프리드염산염),201207541,의약품,제조,전문의약품,,,,,,,,,,
1150,한국바이오의약품협회,알보젠코리아(주),호쿠라바패취2밀리그램(툴로부테롤),201301608,의약품,제조,전문의약품,,,,,,,,,,
1151,한국바이오의약품협회,알보젠코리아(주),호쿠라바패취1밀리그램(툴로부테롤),201301610,의약품,제조,전문의약품,,,,,,,,,,
1152,한국바이오의약품협회,알보젠코리아(주),프리야정50밀리그램(실데나필시트르산염),201307881,의약품,제조,전문의약품,,,,,,,,,,
1153,한국바이오의약품협회,알보젠코리아(주),본비바플러스정,201308067,의약품,제조,전문의약품,,,,,,,,,,
1154,한국바이오의약품협회,알보젠코리아(주),엘디로정20밀리그램(아토르바스타틴칼슘삼수화물),201308368,의약품,제조,전문의약품,,,,,,,,,,
1155,한국바이오의약품협회,알보젠코리아(주),로우텍플러스정20/12.5밀리그램,201308504,의약품,제조,전문의약품,,,,,,,,,,
1156,한국바이오의약품협회,알보젠코리아(주),슬림비플러스정,201308550,의약품,제조,일반의약품,,,,,,,,,,
1157,한국바이오의약품협회,알보젠코리아(주),메치론정1밀리그램(메틸프레드니솔론),201309384,의약품,제조,전문의약품,,,,,,,,,,
1158,한국바이오의약품협회,알보젠코리아(주),로레스토정5밀리그램(로수바스타틴칼슘),201400289,의약품,제조,전문의약품,,,,,,,,,,
1159,한국바이오의약품협회,알보젠코리아(주),파비라졸정10밀리그램(라베프라졸나트륨),201400372,의약품,제조,전문의약품,,,,,,,,,,
1160,한국바이오의약품협회,알보젠코리아(주),에스콜론산,201400830,의약품,제조,전문의약품,,,,,,,,,,
1161,한국바이오의약품협회,알보젠코리아(주),클리넬네일라카(아모롤핀염산염),201403139,의약품,제조,일반의약품,,,,,,,,,,
1162,한국바이오의약품협회,알보젠코리아(주),크래시드정250밀리그램(클래리트로마이신),201403184,의약품,제조,전문의약품,,,,,,,,,,
1163,한국바이오의약품협회,알보젠코리아(주),크래시드정500밀리그램(클래리트로마이신),201403185,의약품,제조,전문의약품,,,,,,,,,,
1164,한국바이오의약품협회,알보젠코리아(주),맥스실린정625밀리그램,201403597,의약품,제조,전문의약품,,,,,,,,,,
1165,한국바이오의약품협회,알보젠코리아(주),맥스실린정375밀리그램,201403598,의약품,제조,전문의약품,,,,,,,,,,
1166,한국바이오의약품협회,알보젠코리아(주),나프라졸정,201403894,의약품,제조,전문의약품,,,,,,,,,,
1167,한국바이오의약품협회,알보젠코리아(주),날트라정25밀리그램(날트렉손염산염),201403957,의약품,제조,전문의약품,,,,,,,,,,
1168,한국바이오의약품협회,알보젠코리아(주),쎌빅캡슐(세레콕시브),201404857,의약품,제조,전문의약품,,,,,,,,,,
1169,한국바이오의약품협회,알보젠코리아(주),에자틴정(메만틴염산염),201405063,의약품,제조,전문의약품,,,,,,,,,,
1170,한국바이오의약품협회,알보젠코리아(주),부로피온정(부프로피온염산염),201405262,의약품,제조,전문의약품,,,,,,,,,,
1171,한국바이오의약품협회,알보젠코리아(주),사포디필SR정300밀리그램(사르포그렐레이트염산염),201500372,의약품,제조,전문의약품,,,,,,,,,,
1172,한국바이오의약품협회,알보젠코리아(주),맥스잘탄정5/100밀리그램,201502969,의약품,제조,전문의약품,,,,,,,,,,
1173,한국바이오의약품협회,알보젠코리아(주),타다프리정5밀리그램(타다라필),201503289,의약품,제조,전문의약품,,,,,,,,,,
1174,한국바이오의약품협회,알보젠코리아(주),맥스잘탄정5/50밀리그램,201504321,의약품,제조,전문의약품,,,,,,,,,,
1175,한국바이오의약품협회,알보젠코리아(주),로제티브정10/5밀리그램,201506783,의약품,제조,전문의약품,,,,,,,,,,
1176,한국바이오의약품협회,알보젠코리아(주),로제티브정10/10밀리그램,201506784,의약품,제조,전문의약품,,,,,,,,,,
1177,한국바이오의약품협회,알보젠코리아(주),로제티브정10/20밀리그램,201506785,의약품,제조,전문의약품,,,,,,,,,,
1178,한국바이오의약품협회,알보젠코리아(주),잘보빈정500밀리그램(카페시타빈),201507291,의약품,수입,전문의약품,,,,,,,,,,
1179,한국바이오의약품협회,알보젠코리아(주),디테린정100밀리그램(사프롭테린이염산염),201507382,의약품,수입,전문의약품,,,,,,,,,,
1180,한국바이오의약품협회,알보젠코리아(주),렉사젠정20밀리그램(에스시탈로프람옥살산염),201507426,의약품,제조,전문의약품,,,,,,,,,,
1181,한국바이오의약품협회,알보젠코리아(주),렉사젠정10밀리그램(에스시탈로프람옥살산염),201507681,의약품,제조,전문의약품,,,,,,,,,,
1182,한국바이오의약품협회,알보젠코리아(주),데스린정0.1밀리그램(데스모프레신아세트산염),201508213,의약품,제조,전문의약품,,,,,,,,,,
1183,한국바이오의약품협회,알보젠코리아(주),데스린정0.2밀리그램(데스모프레신아세트산염),201508214,의약품,제조,전문의약품,,,,,,,,,,
1184,한국바이오의약품협회,알보젠코리아(주),솔리시톨정10밀리그램(솔리페나신숙신산염),201603454,의약품,제조,전문의약품,,,,,,,,,,
1185,한국바이오의약품협회,알보젠코리아(주),솔리시톨정5밀리그램(솔리페나신숙신산염),201603455,의약품,제조,전문의약품,,,,,,,,,,
1186,한국바이오의약품협회,알보젠코리아(주),맥스미카정80/5밀리그램,201605860,의약품,제조,전문의약품,,,,,,,,,,
1187,한국바이오의약품협회,알보젠코리아(주),맥스미카정40/5밀리그램,201606380,의약품,제조,전문의약품,,,,,,,,,,
1188,한국바이오의약품협회,알보젠코리아(주),시나세트정(시나칼세트염산염),201606563,의약품,제조,전문의약품,,,,,,,,,,
1189,한국바이오의약품협회,알보젠코리아(주),로칸듀오정 5/8밀리그램,201702397,의약품,제조,전문의약품,,,,,,,,,,
1190,한국바이오의약품협회,알보젠코리아(주),로칸듀오정20/32밀리그램,201702398,의약품,제조,전문의약품,,,,,,,,,,
1191,한국바이오의약품협회,알보젠코리아(주),로칸듀오정10/16밀리그램,201702399,의약품,제조,전문의약품,,,,,,,,,,
1192,한국바이오의약품협회,알보젠코리아(주),로칸듀오정10/8밀리그램,201702400,의약품,제조,전문의약품,,,,,,,,,,
1193,한국바이오의약품협회,알보젠코리아(주),에비스타플러스정,201707350,의약품,제조,전문의약품,,,,,,,,,,
1194,한국바이오의약품협회,알보젠코리아(주),알치오드정480밀리그램(알티옥트산트로메타민염),201708597,의약품,제조,전문의약품,,,,,,,,,,
1195,한국바이오의약품협회,알보젠코리아(주),두타론정0.5밀리그램(두타스테리드),201802875,의약품,제조,전문의약품,,,,,,,,,,
1196,한국바이오의약품협회,알보젠코리아(주),탑픽스정0.5밀리그램(바레니클린살리실산염),201803355,의약품,제조,전문의약품,,,,,,,,,,
1197,한국바이오의약품협회,알보젠코리아(주),탑픽스정1밀리그램(바레니클린살리실산염),201803356,의약품,제조,전문의약품,,,,,,,,,,
1198,한국바이오의약품협회,알보젠코리아(주),본모어디정,201803499,의약품,제조,전문의약품,,,,,,,,,,
1199,한국바이오의약품협회,알보젠코리아(주),로칸듀오정5/16밀리그램,201803500,의약품,제조,전문의약품,,,,,,,,,,
1200,한국바이오의약품협회,알보젠코리아(주),본모어정20밀리그램(바제독시펜아세테이트),201803834,의약품,제조,전문의약품,,,,,,,,,,
1201,한국바이오의약품협회,알보젠코리아(주),에펙스SR서방정(에페리손염산염),201908622,의약품,제조,전문의약품,,,,,,,,,,
1202,한국바이오의약품협회,알보젠코리아(주),메타젠엠알서방정35밀리그램(트리메타지딘염산염),201908660,의약품,수입,전문의약품,,,,,,,,,,
1203,한국바이오의약품협회,알보젠코리아(주),에포틴플러스프리필드주10000IU/mL(재조합사람에리스로포이에틴),202000312,생물의약품,제조,전문의약품,,,,,,,,,,
1204,한국바이오의약품협회,알보젠코리아(주),에포틴플러스프리필드주2000IU/0.5mL(재조합사람에리스로포이에틴),202000313,생물의약품,제조,전문의약품,,,,,,,,,,
1205,한국바이오의약품협회,알보젠코리아(주),러츠날서방정0.4밀리그램(탐스로신염산염),202002730,의약품,제조,전문의약품,,,,,,,,,,
1206,한국바이오의약품협회,알보젠코리아(주),파리칼주(파리칼시톨),202008263,의약품,제조,전문의약품,,,,,,,,,,
1207,한국바이오의약품협회,알보젠코리아(주),아제티브정10/10밀리그램,202100201,의약품,제조,전문의약품,,,,,,,,,,
1208,한국바이오의약품협회,알보젠코리아(주),아제티브정10/20밀리그램,202100202,의약품,제조,전문의약품,,,,,,,,,,
1209,한국바이오의약품협회,알보젠코리아(주),아제티브정10/40밀리그램,202100203,의약품,제조,전문의약품,,,,,,,,,,
1210,한국바이오의약품협회,알보젠코리아(주),아림시스주(베바시주맙),202200294,생물의약품,수입,전문의약품,,,,,,,,,,
1211,한국바이오의약품협회,알보젠코리아(주),지베즈정,202201788,의약품,제조,전문의약품,,,,,,,,,,
1212,한국바이오의약품협회,알보젠코리아(주),포머렐정0.075밀리그램(데소게스트렐),202201869,의약품,제조,일반의약품,,,,,,,,,,
1213,한국바이오의약품협회,알보젠코리아(주),페노제티브정,202202635,의약품,제조,전문의약품,,,,,,,,,,
1214,한국바이오의약품협회,알보젠코리아(주),젠벨라정800밀리그램(세벨라머탄산염),202202972,의약품,제조,전문의약품,,,,,,,,,,
1215,한국바이오의약품협회,알보젠코리아(주),알보비자니정(디에노게스트),202203468,의약품,제조,전문의약품,,,,,,,,,,
1216,한국바이오의약품협회,알보젠코리아(주),로피롤에이정110밀리그램(페노피브릭산),202203855,의약품,제조,전문의약품,,,,,,,,,,
1217,한국바이오의약품협회,에스케이바이오사이언스(주),스카이조스터주(대상포진생바이러스백신),201707343,생물의약품,제조,전문의약품,,,,,,,,,,
1218,한국바이오의약품협회,에스케이바이오사이언스(주),스카이바리셀라주(수두생바이러스백신),201802323,생물의약품,제조,전문의약품,,,,,,,,,,
1219,한국바이오의약품협회,에스케이바이오사이언스(주),뉴백소비드프리필드시린지(사스코로나바이러스-2 표면항원 백신(유전자재조합)),202200228,생물의약품,제조,전문의약품,,,,,,,,,,
1220,한국바이오의약품협회,에스케이바이오사이언스(주),스카이코비원멀티주(사스코로나바이러스-2 표면항원 백신(유전자재조합)),202202677,생물의약품,제조,전문의약품,,,,,,,,,,
1221,한국바이오의약품협회,에이치케이이노엔(주),디고신정(디곡신),196300001,의약품,제조,전문의약품,,,,,,,,,,
1222,한국바이오의약품협회,에이치케이이노엔(주),후라시닐정(메트로니다졸),196500004,의약품,제조,전문의약품,,,,,,,,,,
1223,한국바이오의약품협회,에이치케이이노엔(주),데카키논캡슐(유비데카레논캡슐),197800027,의약품,제조,일반의약품,,,,,,,,,,
1224,한국바이오의약품협회,에이치케이이노엔(주),헤르벤정(딜티아젬염산염),198100012,의약품,제조,전문의약품,,,,,,,,,,
1225,한국바이오의약품협회,에이치케이이노엔(주),세라도란정주1그램(세포티암염산염),198200044,의약품,제조,전문의약품,,,,,,,,,,
1226,한국바이오의약품협회,에이치케이이노엔(주),아로베스트정(아플로쿠알론),198500041,의약품,제조,전문의약품,,,,,,,,,,
1227,한국바이오의약품협회,에이치케이이노엔(주),비타메진캡슐50밀리그램,198500049,의약품,제조,일반의약품,,,,,,,,,,
1228,한국바이오의약품협회,에이치케이이노엔(주),이노엔비타메진캡슐,198500050,의약품,제조,일반의약품,,,,,,,,,,
1229,한국바이오의약품협회,에이치케이이노엔(주),헤르벤서방정90밀리그램(딜티아젬염산염),198600058,의약품,제조,전문의약품,,,,,,,,,,
1230,한국바이오의약품협회,에이치케이이노엔(주),사이톱신정(시프로플록사신염산염),198801052,의약품,제조,전문의약품,,,,,,,,,,
1231,한국바이오의약품협회,에이치케이이노엔(주),알말정5밀리그램(아로티놀롤염산염),198901206,의약품,제조,전문의약품,,,,,,,,,,
1232,한국바이오의약품협회,에이치케이이노엔(주),알말정10밀리그램(아로티놀롤염산염),198901207,의약품,제조,전문의약품,,,,,,,,,,
1233,한국바이오의약품협회,에이치케이이노엔(주),메바로친정5밀리그램(프라바스타틴나트륨),199000074,의약품,제조,전문의약품,,,,,,,,,,
1234,한국바이오의약품협회,에이치케이이노엔(주),헤르벤주50밀리그램(딜티아젬염산염),199002752,의약품,제조,전문의약품,,,,,,,,,,
1235,한국바이오의약품협회,에이치케이이노엔(주),마디핀정(마니디핀염산염),199101291,의약품,제조,전문의약품,,,,,,,,,,
1236,한국바이오의약품협회,에이치케이이노엔(주),마디핀정10밀리그램(마니디핀염산염),199101298,의약품,제조,전문의약품,,,,,,,,,,
1237,한국바이오의약품협회,에이치케이이노엔(주),이노엔반코마이신염산염주500밀리그램,199101306,의약품,제조,전문의약품,,,,,,,,,,
